Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"3.228 [1.535,4.921]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,"1.904 [0.161,3.647]",1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,"1.658 [-0.115,3.432]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,"0.952 [-0.598,2.501]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Albumin,"0.891 [-0.588,2.370]",1.000,,Albumin
M-LDL-TG%,"-0.500 [-2.023,1.024]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Leu,"-0.664 [-2.125,0.798]",1.000,,Leucine
Val,"-0.861 [-2.333,0.610]",1.000,,Valine
Total-BCAA,"-0.877 [-2.334,0.580]",1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
GlycA,"-5.227 [-6.791,-3.663]",1.352e-05,***,Glycoprotein Acetyls
