Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"15.864 [-1.554,33.281]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-FC%,"15.526 [-4.071,35.124]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Clinical LDL-C,"15.132 [-2.302,32.566]",1.000,,Clinical LDL Cholesterol
ApoB,"15.091 [-2.000,32.182]",1.000,,Apolipoprotein B
Val,"9.190 [-7.835,26.216]",1.000,,Valine
SFA%,"-3.963 [-21.892,13.966]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA,"-6.020 [-24.424,12.383]",1.000,,Monounsaturated Fatty Acids
DHA,"-10.691 [-27.836,6.455]",1.000,,Docosahexaenoic Acid
Omega-3,"-13.378 [-30.219,3.462]",1.000,,Omega-3 Fatty Acids
M-LDL-TG%,"-17.181 [-34.809,0.446]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
