Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"2.299 [0.338,4.261]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-FC%,"1.921 [-0.287,4.128]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Gln,"0.684 [-1.167,2.535]",1.000,,Glutamine
M-LDL-CE%,"0.591 [-1.225,2.406]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Gly,"0.393 [-1.224,2.010]",1.000,,Glycine
PUFA,"-0.324 [-2.304,1.655]",1.000,,Polyunsaturated Fatty Acids
Total-FA,"-0.872 [-2.899,1.155]",1.000,,Total-Fatty Acids
SFA,"-1.041 [-3.105,1.023]",1.000,,Saturated Fatty Acids
Omega-3,"-1.205 [-3.102,0.692]",1.000,,Omega-3 Fatty Acids
M-LDL-TG%,"-2.799 [-4.784,-0.815]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
