Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"14.536 [3.094,25.978]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-C%,"9.708 [-0.491,19.907]",1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-CE%,"9.372 [-1.711,20.455]",1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-C%,"7.181 [-4.050,18.412]",1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
Ala,"0.516 [-9.163,10.195]",1.000,,Alanine
VLDL-C,"-4.763 [-14.601,5.075]",1.000,,VLDL Cholesterol
HDL-CE,"-7.571 [-18.171,3.029]",1.000,,Cholesteryl Esters in HDL
LDL-CE,"-8.274 [-18.312,1.764]",1.000,,Cholesteryl Esters in LDL
M-LDL-TG%,"-12.575 [-22.867,-2.283]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Creatinine,"-30.832 [-43.584,-18.080]",0.496,,Creatinine
