Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"12.078 [2.230,21.927]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Clinical LDL-C,"8.781 [0.020,17.543]",1.000,,Clinical LDL Cholesterol
ApoB,"7.221 [-1.369,15.811]",1.000,,Apolipoprotein B
LDL-C,"6.728 [-1.956,15.412]",1.000,,LDL Cholesterol
HDL-C,"2.736 [-6.413,11.886]",1.000,,HDL Cholesterol
M-LDL-PL%,"-3.027 [-10.852,4.798]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Total-FA,"-3.829 [-12.876,5.218]",1.000,,Total-Fatty Acids
SFA,"-5.559 [-14.770,3.653]",1.000,,Saturated Fatty Acids
SFA%,"-6.838 [-15.851,2.175]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA,"-8.141 [-17.390,1.107]",1.000,,Monounsaturated Fatty Acids
