Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"6.986 [1.872,12.100]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Clinical LDL-C,"4.427 [-0.123,8.977]",1.000,,Clinical LDL Cholesterol
LDL-C,"4.092 [-0.417,8.602]",1.000,,LDL Cholesterol
ApoB,"3.915 [-0.546,8.375]",1.000,,Apolipoprotein B
HDL-C,"3.369 [-1.382,8.120]",1.000,,HDL Cholesterol
Omega-3,"-0.397 [-4.793,3.999]",1.000,,Omega-3 Fatty Acids
SFA%,"-2.258 [-6.938,2.422]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA,"-3.215 [-8.018,1.587]",1.000,,Monounsaturated Fatty Acids
M-LDL-TG%,"-3.406 [-8.007,1.195]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,"-7.018 [-12.035,-2.001]",1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
