Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,"0.000 [0.000,0.000]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-FC%,"0.000 [-0.000,0.000]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,"0.000 [-0.000,0.000]",1.000,,Total-Esterified Cholesterol
LDL-CE,"0.000 [-0.000,0.000]",1.000,,Cholesteryl Esters in LDL
VLDL-CE,"0.000 [-0.000,0.000]",1.000,,Cholesteryl Esters in VLDL
LA,"-0.000 [-0.000,0.000]",1.000,,Linoleic Acid
M-LDL-TG%,"-0.000 [-0.000,0.000]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,"-0.000 [-0.000,-0.000]",1.000,,Monounsaturated Fatty Acids
Omega-3,"-0.000 [-0.000,-0.000]",1.000,,Omega-3 Fatty Acids
Glu,"-0.000 [-0.001,-0.000]",0.851,,Glucose
