Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,1.08 [0.90-1.30],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3,1.06 [0.88-1.28],1.000,,Omega-3 Fatty Acids
PUFA,1.04 [0.87-1.26],1.000,,Polyunsaturated Fatty Acids
LA,1.04 [0.86-1.24],1.000,,Linoleic Acid
Omega-6,1.03 [0.86-1.24],1.000,,Omega-6 Fatty Acids
Remnant-C,1.00 [0.83-1.20],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.99 [0.83-1.19],1.000,,Total-Cholesterol Minus HDL-C
LDL-CE,0.98 [0.81-1.18],1.000,,Cholesteryl Esters in LDL
M-LDL-TG%,0.97 [0.80-1.16],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-C,0.96 [0.80-1.17],1.000,,VLDL Cholesterol
