Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,1.17 [1.09-1.24],0.653,,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-TG%,1.14 [1.08-1.20],0.271,,Triglycerides to Total-Lipids in Medium VLDL percentage
Val,1.02 [0.97-1.07],1.000,,Valine
Total-BCAA,1.02 [0.97-1.07],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.02 [0.97-1.07],1.000,,Leucine
M-VLDL-C%,0.90 [0.86-0.94],0.223,,Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE%,0.89 [0.85-0.93],0.198,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC%,0.89 [0.85-0.93],0.185,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.89 [0.85-0.93],0.046,*,Phospholipids to Total-Lipids in Medium VLDL percentage
L-VLDL-CE%,0.88 [0.83-0.92],0.144,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
