Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.19 [1.04-1.36],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.17 [1.01-1.35],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Gly,1.16 [0.96-1.41],1.000,,Glycine
Ala,1.07 [0.93-1.22],1.000,,Alanine
M-HDL-TG%,1.02 [0.88-1.18],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Total-C,0.72 [0.63-0.82],0.181,,Total-Cholesterol
Total-CE,0.71 [0.63-0.81],0.125,,Total-Esterified Cholesterol
IDL-C,0.70 [0.61-0.81],0.175,,Cholesterol in IDL
IDL-CE,0.70 [0.61-0.81],0.240,,Cholesteryl Esters in IDL
IDL-FC,0.69 [0.60-0.80],0.169,,Free Cholesterol in IDL
