Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.20 [1.11-1.29],0.339,,Glycoprotein Acetyls
M-LDL-TG%,1.12 [1.04-1.20],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Val,1.06 [0.98-1.14],1.000,,Valine
ApoB/ApoA1,1.06 [0.98-1.14],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,1.01 [0.94-1.08],1.000,,VLDL Cholesterol
LDL-CE,0.98 [0.91-1.05],1.000,,Cholesteryl Esters in LDL
Total-C,0.94 [0.88-1.01],1.000,,Total-Cholesterol
Total-CE,0.93 [0.87-1.00],1.000,,Total-Esterified Cholesterol
M-LDL-FC%,0.92 [0.86-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,0.84 [0.77-0.91],1.000,,Cholesteryl Esters in HDL
