Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.15 [0.96-1.38],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
LA,1.13 [0.93-1.36],1.000,,Linoleic Acid
Omega-3%,1.12 [0.92-1.36],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
MUFA%,1.06 [0.87-1.29],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
DHA,1.04 [0.85-1.27],1.000,,Docosahexaenoic Acid
PUFA%,1.00 [0.83-1.20],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.97 [0.81-1.17],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.97 [0.80-1.18],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
DHA%,0.97 [0.80-1.17],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-FC%,0.90 [0.75-1.08],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
