Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-FC%,609,1.067 [1.010-1.128],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-PL,562,1.055 [0.996-1.119],1.000,,Phospholipids in Very Large HDL
Omega-6/Omega-3,257,1.028 [0.993-1.064],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Total-CE,575,1.023 [0.904-1.157],1.000,,Total-Esterified Cholesterol
IDL-C,568,1.020 [0.955-1.089],1.000,,Cholesterol in IDL
PUFA,699,0.663 [0.566-0.778],0.102,,Polyunsaturated Fatty Acids
Omega-6,651,0.643 [0.537-0.770],0.356,,Omega-6 Fatty Acids
Total-FA,654,0.635 [0.531-0.760],0.168,,Total-Fatty Acids
MUFA,654,0.610 [0.507-0.733],0.034,*,Monounsaturated Fatty Acids
GlycA,385,0.426 [0.305-0.593],0.111,,Glycoprotein Acetyls
