Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-TG%,153,1.104 [0.974-1.252],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,369,1.094 [1.007-1.188],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-CE%,367,1.057 [0.984-1.135],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,1.043 [0.993-1.096],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-TG%,456,1.026 [0.959-1.098],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-C%,261,0.999 [0.887-1.124],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-CE%,509,0.966 [0.893-1.045],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-HDL-FC%,609,0.943 [0.883-1.008],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-TG,617,0.926 [0.869-0.986],1.000,,Triglycerides in Medium HDL
IDL-FC,587,0.911 [0.845-0.981],1.000,,Free Cholesterol in IDL
