Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
VLDL-size,604,1.132 [1.081-1.185],0.026,*,Average Diameter for VLDL Particles
XXL-VLDL-L,514,1.130 [1.071-1.191],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,570,1.126 [1.072-1.182],0.575,,Triglycerides in Very Large VLDL
TG/PG,632,1.123 [1.072-1.177],0.306,,Triglycerides to Phosphoglycerides ratio
VLDL-P,640,1.034 [0.989-1.080],1.000,,Concentration of VLDL Particles
Unsaturation,310,0.917 [0.886-0.948],0.104,,Degree of Unsaturation
HDL-size,600,0.911 [0.878-0.946],0.334,,Average Diameter for HDL Particles
L-HDL-PL,598,0.909 [0.874-0.946],0.545,,Phospholipids in Large HDL
XL-HDL-PL%,441,0.895 [0.857-0.934],0.079,,Phospholipids to Total-Lipids in Very Large HDL percentage
PUFA%,371,0.851 [0.797-0.909],0.390,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
