Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-CE,607,1.018 [0.998-1.039],1.000,,Cholesteryl Esters in Medium HDL
HDL-C,621,1.005 [0.988-1.021],1.000,,HDL Cholesterol
HDL-L,598,1.004 [0.987-1.021],1.000,,Total-Lipids in HDL
S-HDL-FC,483,1.003 [0.978-1.029],1.000,,Free Cholesterol in Small HDL
L-HDL-P,633,1.003 [0.989-1.017],1.000,,Concentration of Large HDL Particles
Unsaturation,310,0.997 [0.983-1.011],1.000,,Degree of Unsaturation
M-VLDL-TG,613,0.976 [0.953-0.999],1.000,,Triglycerides in Medium VLDL
Gly,134,0.971 [0.949-0.994],1.000,,Glycine
XS-VLDL-FC,612,0.971 [0.954-0.988],1.000,,Free Cholesterol in Very Small VLDL
Clinical LDL-C,463,0.963 [0.940-0.986],1.000,,Clinical LDL Cholesterol
