Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-P,416,1.074 [0.997-1.158],1.000,,Concentration of Small HDL Particles
XL-VLDL-TG,570,1.053 [0.979-1.132],1.000,,Triglycerides in Very Large VLDL
S-LDL-C%,261,1.026 [0.914-1.153],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-PL%,271,1.025 [0.938-1.121],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,331,1.015 [0.944-1.090],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
HDL-size,600,0.985 [0.938-1.034],1.000,,Average Diameter for HDL Particles
L-VLDL-CE,614,0.980 [0.919-1.046],1.000,,Cholesteryl Esters in Large VLDL
Gly,134,0.958 [0.880-1.044],1.000,,Glycine
Clinical LDL-C,463,0.952 [0.889-1.020],1.000,,Clinical LDL Cholesterol
PUFA/MUFA,484,0.904 [0.841-0.971],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
