Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Gln,113,1.018 [0.998-1.038],1.000,,Glutamine
S-HDL-PL%,367,1.015 [1.004-1.025],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
HDL-C,621,1.010 [0.997-1.022],1.000,,HDL Cholesterol
L-HDL-P,633,1.007 [0.998-1.017],1.000,,Concentration of Large HDL Particles
S-HDL-CE%,367,1.003 [0.994-1.011],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-VLDL-PL%,398,0.967 [0.956-0.979],0.019,*,Phospholipids to Total-Lipids in Very Large VLDL percentage
VLDL-C,644,0.965 [0.952-0.979],0.112,,VLDL Cholesterol
VLDL-PL,674,0.964 [0.951-0.978],0.147,,Phospholipids in VLDL
VLDL-FC,630,0.963 [0.949-0.977],0.049,*,Free Cholesterol in VLDL
MUFA,654,0.949 [0.933-0.966],7.034e-04,***,Monounsaturated Fatty Acids
