Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-FC%,173,1.133 [0.996-1.290],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C,589,1.062 [0.978-1.154],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-TG,567,1.047 [0.957-1.144],1.000,,Triglycerides in Large VLDL
PC,606,1.039 [0.962-1.123],1.000,,Phosphatidylcholines
XXL-VLDL-PL,556,1.036 [0.950-1.129],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
L-HDL-CE,698,0.993 [0.927-1.064],1.000,,Cholesteryl Esters in Large HDL
3-Hydroxybutyrate,68,0.990 [0.716-1.368],1.000,,3-Hydroxybutyrate
Omega-6%,366,0.965 [0.866-1.076],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,375,0.907 [0.816-1.009],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
Acetate,13,0.584 [0.268-1.272],1.000,,Acetate
