Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-L,502,1.058 [0.996-1.124],1.000,,Total-Lipids in LDL
M-LDL-FC,407,1.047 [0.987-1.112],1.000,,Free Cholesterol in Medium LDL
L-LDL-CE%,344,1.025 [0.941-1.116],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-TG%,369,1.021 [0.968-1.078],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
S-VLDL-C,618,1.006 [0.950-1.065],1.000,,Cholesterol in Small VLDL
VLDL-FC,630,0.974 [0.919-1.032],1.000,,Free Cholesterol in VLDL
Phosphoglyc,609,0.956 [0.897-1.018],1.000,,Phosphoglycerides
XXL-VLDL-CE,621,0.948 [0.895-1.004],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-PL%,580,0.942 [0.894-0.992],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
Ile,28,0.388 [0.267-0.564],0.168,,Isoleucine
