Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA,289,1.144 [1.080-1.211],1.000,,Docosahexaenoic Acid
Unsaturation,310,1.132 [1.076-1.191],0.451,,Degree of Unsaturation
Omega-3%,215,1.121 [1.076-1.168],0.013,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-LDL-CE%,344,1.085 [0.981-1.200],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
HDL-L,598,1.003 [0.938-1.072],1.000,,Total-Lipids in HDL
LDL-P,552,0.956 [0.894-1.022],1.000,,Concentration of LDL Particles
S-LDL-CE%,545,0.954 [0.884-1.029],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Ala,85,0.949 [0.806-1.117],1.000,,Alanine
Omega-6/Omega-3,257,0.886 [0.850-0.923],0.003,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,226,0.767 [0.710-0.829],4.203e-06,***,Linoleic Acid to Total-Fatty Acids percentage
