Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetone,15,1.118 [0.865-1.445],1.000,,Acetone
Gln,113,1.068 [1.004-1.136],1.000,,Glutamine
M-LDL-FC%,651,1.022 [0.991-1.055],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-CE%,557,1.019 [0.988-1.051],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-P,598,1.002 [0.967-1.037],1.000,,Concentration of Medium HDL Particles
M-HDL-TG%,657,0.983 [0.957-1.010],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Non-HDL-C,563,0.974 [0.940-1.009],1.000,,Total-Cholesterol Minus HDL-C
MUFA%,525,0.967 [0.939-0.996],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Total-TG,641,0.960 [0.929-0.991],1.000,,Total-Triglycerides
3-Hydroxybutyrate,68,0.916 [0.817-1.028],1.000,,3-Hydroxybutyrate
