Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-PL%,367,1.201 [0.985-1.465],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
Gln,113,1.174 [0.823-1.675],1.000,,Glutamine
XL-HDL-TG,489,1.052 [0.914-1.211],1.000,,Triglycerides in Very Large HDL
LDL-L,502,1.043 [0.861-1.264],1.000,,Total-Lipids in LDL
Ala,85,1.027 [0.593-1.780],1.000,,Alanine
ApoB/ApoA1,542,0.955 [0.794-1.148],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
S-HDL-C,410,0.932 [0.736-1.180],1.000,,Cholesterol in Small HDL
XL-HDL-FC,590,0.905 [0.756-1.082],1.000,,Free Cholesterol in Very Large HDL
IDL-CE%,420,0.905 [0.754-1.085],1.000,,Cholesteryl Esters to Total-Lipids in IDL percentage
L-VLDL-CE%,492,0.805 [0.640-1.013],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
