Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-PL,556,1.090 [1.000-1.189],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG,678,1.060 [0.996-1.128],1.000,,Triglycerides in Very Small VLDL
VLDL-PL,674,1.028 [0.951-1.111],1.000,,Phospholipids in VLDL
L-HDL-PL%,508,1.022 [0.930-1.122],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-C%,306,1.016 [0.947-1.090],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
M-VLDL-PL,632,0.999 [0.916-1.088],1.000,,Phospholipids in Medium VLDL
HDL-PL,590,0.975 [0.902-1.053],1.000,,Phospholipids in HDL
M-LDL-PL%,271,0.960 [0.859-1.072],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-C%,622,0.938 [0.865-1.017],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-PL%,600,0.872 [0.801-0.951],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
