Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Albumin,72,680.805 [107.746-4301.727],9.782e-07,***,Albumin
L-HDL-PL%,508,1.076 [0.883-1.311],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-C,604,1.044 [0.901-1.209],1.000,,Cholesterol in Very Small VLDL
S-VLDL-CE,626,1.032 [0.881-1.209],1.000,,Cholesteryl Esters in Small VLDL
XL-HDL-PL,562,1.020 [0.879-1.183],1.000,,Phospholipids in Very Large HDL
TG/PG,632,0.934 [0.785-1.112],1.000,,Triglycerides to Phosphoglycerides ratio
M-VLDL-P,612,0.919 [0.774-1.090],1.000,,Concentration of Medium VLDL Particles
M-HDL-C%,632,0.918 [0.782-1.078],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-P,622,0.916 [0.773-1.086],1.000,,Concentration of Large VLDL Particles
XL-VLDL-FC,610,0.894 [0.754-1.061],1.000,,Free Cholesterol in Very Large VLDL
