Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
SFA%,94,1.120 [1.001-1.253],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
PC,606,1.034 [0.984-1.086],1.000,,Phosphatidylcholines
L-VLDL-FC%,331,1.015 [0.970-1.063],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-CE,698,1.011 [0.974-1.050],1.000,,Cholesteryl Esters in Large HDL
S-HDL-PL,489,1.003 [0.941-1.070],1.000,,Phospholipids in Small HDL
SM,547,0.998 [0.954-1.045],1.000,,Sphingomyelins
M-LDL-FC%,651,0.974 [0.932-1.017],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-C%,632,0.973 [0.935-1.011],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-C%,261,0.954 [0.898-1.014],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-CE%,259,0.940 [0.899-0.984],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
