Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Total-P,531,1.069 [1.027-1.113],1.000,,Total-Concentration of Lipoprotein Particles
Omega-3,420,1.060 [1.037-1.084],0.075,,Omega-3 Fatty Acids
Cholines,620,1.032 [1.000-1.066],1.000,,Total-Cholines
IDL-CE,553,1.005 [0.970-1.042],1.000,,Cholesteryl Esters in IDL
LDL-CE,506,1.001 [0.966-1.036],1.000,,Cholesteryl Esters in LDL
XL-HDL-C%,306,0.992 [0.966-1.020],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-P,566,0.991 [0.958-1.024],1.000,,Concentration of Small LDL Particles
VLDL-FC,630,0.981 [0.952-1.011],1.000,,Free Cholesterol in VLDL
S-HDL-PL%,367,0.976 [0.945-1.009],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
LA%,226,0.897 [0.862-0.933],0.017,*,Linoleic Acid to Total-Fatty Acids percentage
