Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Albumin,72,1.488 [1.045-2.121],1.000,,Albumin
Omega-6/Omega-3,257,1.160 [1.093-1.232],0.271,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-CE%,259,1.050 [0.948-1.163],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-VLDL-TG,567,1.043 [0.892-1.221],1.000,,Triglycerides in Large VLDL
L-HDL-CE%,562,1.029 [0.926-1.143],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Phosphoglyc,609,0.454 [0.339-0.607],0.025,*,Phosphoglycerides
MUFA,654,0.439 [0.327-0.590],0.010,*,Monounsaturated Fatty Acids
LA,635,0.432 [0.321-0.581],0.007,**,Linoleic Acid
PUFA,699,0.425 [0.330-0.549],1.358e-05,***,Polyunsaturated Fatty Acids
Total-FA,654,0.421 [0.316-0.560],6.831e-04,***,Total-Fatty Acids
Omega-6,651,0.397 [0.297-0.530],9.140e-05,***,Omega-6 Fatty Acids
S-HDL-FC,483,0.324 [0.219-0.480],0.005,**,Free Cholesterol in Small HDL
S-HDL-PL,489,0.314 [0.211-0.468],0.003,**,Phospholipids in Small HDL
