Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,375,1.300 [1.169-1.446],0.307,,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,489,1.251 [1.141-1.371],0.452,,Phospholipids to Total-Lipids in Medium HDL percentage
Pyruvate,37,1.239 [0.855-1.795],1.000,,Pyruvate
S-HDL-TG%,677,1.131 [1.053-1.215],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
IDL-TG,602,1.026 [0.966-1.090],1.000,,Triglycerides in IDL
Unsaturation,310,0.866 [0.820-0.916],0.098,,Degree of Unsaturation
M-HDL-CE,607,0.806 [0.738-0.881],0.455,,Cholesteryl Esters in Medium HDL
L-LDL-C%,403,0.802 [0.733-0.878],0.454,,Cholesterol to Total-Lipids in Large LDL percentage
Total-P,531,0.754 [0.681-0.834],0.011,*,Total-Concentration of Lipoprotein Particles
HDL-P,547,0.742 [0.672-0.819],8.218e-04,***,Concentration of HDL Particles
