Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetone,15,1.061 [0.920-1.223],1.000,,Acetone
PUFA/MUFA,484,1.027 [1.004-1.051],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-VLDL-TG%,369,1.019 [0.995-1.042],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-L,623,1.017 [0.997-1.036],1.000,,Total-Lipids in Large HDL
XL-HDL-C,653,1.006 [0.987-1.025],1.000,,Cholesterol in Very Large HDL
XL-VLDL-TG,570,0.980 [0.958-1.003],1.000,,Triglycerides in Very Large VLDL
IDL-CE,553,0.970 [0.946-0.994],1.000,,Cholesteryl Esters in IDL
LA,635,0.945 [0.920-0.970],1.000,,Linoleic Acid
MUFA,654,0.942 [0.919-0.966],0.860,,Monounsaturated Fatty Acids
S-HDL-L,442,0.928 [0.900-0.957],0.640,,Total-Lipids in Small HDL
