Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA/MUFA,484,1.056 [1.009-1.107],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XXL-VLDL-FC%,173,1.045 [0.972-1.125],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA,289,1.036 [0.999-1.074],1.000,,Docosahexaenoic Acid
XL-HDL-L,598,1.018 [0.980-1.058],1.000,,Total-Lipids in Very Large HDL
M-VLDL-FC,594,1.001 [0.956-1.048],1.000,,Free Cholesterol in Medium VLDL
SM,547,0.997 [0.953-1.042],1.000,,Sphingomyelins
Total-CE,575,0.979 [0.933-1.027],1.000,,Total-Esterified Cholesterol
LDL-TG,630,0.975 [0.939-1.013],1.000,,Triglycerides in LDL
VLDL-size,604,0.975 [0.933-1.018],1.000,,Average Diameter for VLDL Particles
3-Hydroxybutyrate,68,0.917 [0.763-1.101],1.000,,3-Hydroxybutyrate
