Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,460,1.115 [1.002-1.240],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Albumin,72,1.053 [0.821-1.349],1.000,,Albumin
XL-HDL-L,598,1.034 [0.996-1.074],1.000,,Total-Lipids in Very Large HDL
Omega-6/Omega-3,257,1.021 [0.988-1.055],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-FC%,491,1.019 [0.987-1.052],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
PUFA,699,0.705 [0.625-0.796],0.004,**,Polyunsaturated Fatty Acids
Total-FA,654,0.695 [0.609-0.792],0.013,*,Total-Fatty Acids
MUFA,654,0.694 [0.608-0.793],0.016,*,Monounsaturated Fatty Acids
LA,635,0.678 [0.591-0.779],0.008,**,Linoleic Acid
Omega-6,651,0.678 [0.591-0.777],0.006,**,Omega-6 Fatty Acids
GlycA,385,0.443 [0.347-0.565],1.214e-05,***,Glycoprotein Acetyls
