Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.226 [1.143-1.314],0.002,**,Glycoprotein Acetyls
S-VLDL-TG%,564,1.126 [1.081-1.174],0.004,**,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,661,1.119 [1.076-1.165],0.007,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,635,1.108 [1.067-1.150],0.025,*,Triglycerides to Total-Lipids in IDL percentage
M-HDL-TG,617,1.107 [1.065-1.152],0.071,,Triglycerides in Medium HDL
S-HDL-C%,436,0.900 [0.866-0.934],0.009,**,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-C%,527,0.893 [0.856-0.930],0.017,*,Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,609,0.891 [0.855-0.929],0.014,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
LDL-FC,411,0.885 [0.846-0.927],0.046,*,Free Cholesterol in LDL
L-LDL-FC%,687,0.885 [0.847-0.924],0.011,*,Free Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-C%,403,0.878 [0.841-0.918],0.002,**,Cholesterol to Total-Lipids in Large LDL percentage
IDL-FC%,332,0.864 [0.820-0.910],0.009,**,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,225,0.850 [0.802-0.900],0.007,**,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-FC%,460,0.849 [0.810-0.889],1.190e-06,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
