Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Lactate,22,1.124 [0.863-1.464],1.000,,Lactate
Gly,134,1.035 [1.004-1.066],1.000,,Glycine
S-LDL-FC%,578,1.007 [0.982-1.032],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-PL%,508,1.004 [0.973-1.036],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
HDL-C,621,1.003 [0.976-1.029],1.000,,HDL Cholesterol
M-LDL-C%,225,0.988 [0.954-1.023],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-TG,613,0.984 [0.958-1.010],1.000,,Triglycerides in Medium VLDL
L-LDL-CE%,344,0.976 [0.941-1.011],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Omega-6,651,0.937 [0.912-0.963],0.580,,Omega-6 Fatty Acids
LA,635,0.926 [0.902-0.951],0.005,**,Linoleic Acid
