Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-FC%,173,1.077 [0.964-1.203],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-TG%,657,1.013 [0.950-1.080],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-P,598,1.013 [0.942-1.089],1.000,,Concentration of Medium HDL Particles
S-HDL-TG%,677,1.010 [0.946-1.080],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
HDL-PL,590,1.006 [0.941-1.075],1.000,,Phospholipids in HDL
L-VLDL-PL%,580,1.000 [0.939-1.064],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
XS-VLDL-FC,612,0.998 [0.943-1.055],1.000,,Free Cholesterol in Very Small VLDL
PC,606,0.988 [0.926-1.054],1.000,,Phosphatidylcholines
Cholines,620,0.984 [0.920-1.052],1.000,,Total-Cholines
ApoB/ApoA1,542,0.954 [0.887-1.025],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
