Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
His,43,1.076 [0.777-1.491],1.000,,Histidine
L-HDL-CE,698,1.052 [0.996-1.111],1.000,,Cholesteryl Esters in Large HDL
L-HDL-C%,622,1.047 [0.984-1.114],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-FC%,397,1.042 [0.954-1.138],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-FC%,609,1.027 [0.973-1.085],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-P,622,0.972 [0.924-1.022],1.000,,Concentration of Very Small VLDL Particles
M-HDL-TG%,657,0.959 [0.907-1.013],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Total-FA,654,0.864 [0.813-0.919],0.733,,Total-Fatty Acids
MUFA,654,0.849 [0.797-0.905],0.124,,Monounsaturated Fatty Acids
GlycA,385,0.719 [0.648-0.797],1.084e-04,***,Glycoprotein Acetyls
