Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-PL,489,1.013 [0.993-1.033],1.000,,Phospholipids in Small HDL
L-VLDL-CE%,492,1.004 [0.982-1.027],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-TG,617,1.004 [0.989-1.018],1.000,,Triglycerides in Medium HDL
S-HDL-TG,681,1.002 [0.987-1.017],1.000,,Triglycerides in Small HDL
S-HDL-PL%,367,1.001 [0.980-1.023],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
Pyruvate,37,0.990 [0.918-1.068],1.000,,Pyruvate
MUFA,654,0.986 [0.970-1.002],1.000,,Monounsaturated Fatty Acids
S-VLDL-L,665,0.985 [0.969-1.002],1.000,,Total-Lipids in Small VLDL
Phe,17,0.959 [0.889-1.035],1.000,,Phenylalanine
Ala,85,0.945 [0.897-0.995],1.000,,Alanine
