Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-TG%,564,1.129 [1.067-1.194],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,525,1.050 [0.989-1.116],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,642,1.042 [0.979-1.110],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG,681,1.026 [0.967-1.089],1.000,,Triglycerides in Small HDL
L-HDL-TG,449,1.001 [0.960-1.043],1.000,,Triglycerides in Large HDL
S-VLDL-PL%,600,0.872 [0.826-0.920],0.149,,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-FC,587,0.871 [0.826-0.918],0.067,,Free Cholesterol in IDL
LDL-FC,411,0.863 [0.815-0.914],0.112,,Free Cholesterol in LDL
L-LDL-FC,474,0.858 [0.811-0.907],0.018,*,Free Cholesterol in Large LDL
M-LDL-C%,225,0.826 [0.766-0.890],0.152,,Cholesterol to Total-Lipids in Medium LDL percentage
