Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetate,13,1.174 [0.700-1.967],1.000,,Acetate
L-LDL-L,508,1.107 [1.036-1.183],1.000,,Total-Lipids in Large LDL
IDL-P,505,1.065 [1.019-1.113],1.000,,Concentration of IDL Particles
XS-VLDL-FC,612,1.030 [0.964-1.099],1.000,,Free Cholesterol in Very Small VLDL
S-HDL-CE,360,1.001 [0.901-1.112],1.000,,Cholesteryl Esters in Small HDL
L-HDL-C%,622,0.996 [0.951-1.043],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-C,607,0.805 [0.718-0.901],1.000,,Cholesterol in Medium HDL
MUFA,654,0.728 [0.641-0.827],0.266,,Monounsaturated Fatty Acids
S-HDL-PL,489,0.654 [0.548-0.781],0.625,,Phospholipids in Small HDL
GlycA,385,0.550 [0.433-0.698],0.221,,Glycoprotein Acetyls
