Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-CE%,420,1.049 [0.964-1.142],1.000,,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-HDL-L,598,1.044 [0.975-1.117],1.000,,Total-Lipids in Very Large HDL
S-VLDL-PL%,600,1.024 [0.945-1.110],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
Omega-3%,215,1.004 [0.955-1.056],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,474,1.001 [0.928-1.079],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-TG,681,0.884 [0.817-0.958],1.000,,Triglycerides in Small HDL
XL-VLDL-C,639,0.824 [0.758-0.894],0.931,,Cholesterol in Very Large VLDL
VLDL-PL,674,0.805 [0.742-0.874],0.053,,Phospholipids in VLDL
S-LDL-CE%,545,0.798 [0.726-0.878],0.828,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
MUFA,654,0.789 [0.720-0.865],0.088,,Monounsaturated Fatty Acids
