Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-PL%,508,1.119 [1.044-1.199],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG,681,1.055 [1.000-1.113],1.000,,Triglycerides in Small HDL
S-HDL-C,410,1.032 [0.958-1.112],1.000,,Cholesterol in Small HDL
L-LDL-CE%,344,1.008 [0.931-1.091],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
LDL-TG,630,1.006 [0.958-1.057],1.000,,Triglycerides in LDL
XL-HDL-FC,590,0.928 [0.881-0.977],1.000,,Free Cholesterol in Very Large HDL
L-HDL-CE%,562,0.910 [0.856-0.969],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
SM,547,0.872 [0.822-0.924],0.998,,Sphingomyelins
LDL-FC,411,0.858 [0.804-0.915],0.810,,Free Cholesterol in LDL
L-LDL-FC,474,0.856 [0.803-0.913],0.448,,Free Cholesterol in Large LDL
