Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-FC%,609,1.043 [0.983-1.107],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,600,1.039 [0.980-1.102],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
Leu,36,1.024 [0.770-1.363],1.000,,Leucine
L-LDL-C,488,1.017 [0.948-1.091],1.000,,Cholesterol in Large LDL
IDL-C,568,1.016 [0.956-1.079],1.000,,Cholesterol in IDL
S-HDL-TG,681,0.940 [0.886-0.997],1.000,,Triglycerides in Small HDL
Phosphoglyc,609,0.904 [0.845-0.966],1.000,,Phosphoglycerides
S-HDL-L,442,0.817 [0.750-0.890],0.904,,Total-Lipids in Small HDL
S-HDL-FC,483,0.805 [0.740-0.875],0.104,,Free Cholesterol in Small HDL
GlycA,385,0.680 [0.609-0.758],1.071e-06,***,Glycoprotein Acetyls
