Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-P,416,1.155 [0.991-1.345],1.000,,Concentration of Small HDL Particles
LA%,226,1.109 [1.064-1.155],0.200,,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.056 [1.033-1.080],0.280,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-TG%,635,1.026 [0.977-1.078],1.000,,Triglycerides to Total-Lipids in IDL percentage
M-HDL-TG,617,1.015 [0.947-1.089],1.000,,Triglycerides in Medium HDL
IDL-C%,558,0.962 [0.916-1.010],1.000,,Cholesterol to Total-Lipids in IDL percentage
Omega-3%,215,0.946 [0.926-0.967],0.118,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.940 [0.918-0.962],0.059,,Degree of Unsaturation
XL-VLDL-PL,607,0.934 [0.872-1.000],1.000,,Phospholipids in Very Large VLDL
LDL-P,552,0.932 [0.870-0.998],1.000,,Concentration of LDL Particles
