Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-L,442,1.173 [1.040-1.323],1.000,,Total-Lipids in Small HDL
M-LDL-PL%,271,1.058 [0.969-1.156],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-P,640,1.052 [0.980-1.129],1.000,,Concentration of VLDL Particles
M-VLDL-L,589,1.023 [0.948-1.104],1.000,,Total-Lipids in Medium VLDL
XL-HDL-L,598,1.009 [0.964-1.056],1.000,,Total-Lipids in Very Large HDL
ApoB/ApoA1,542,0.998 [0.935-1.066],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Total-C,563,0.993 [0.923-1.069],1.000,,Total-Cholesterol
XL-HDL-TG%,642,0.992 [0.931-1.056],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
Clinical LDL-C,463,0.976 [0.907-1.051],1.000,,Clinical LDL Cholesterol
L-VLDL-FC%,331,0.975 [0.905-1.049],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
