Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-FC%,651,1.053 [1.010-1.099],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-FC%,578,1.035 [0.997-1.075],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-C%,403,1.030 [0.982-1.080],1.000,,Cholesterol to Total-Lipids in Large LDL percentage
Gln,113,1.024 [0.956-1.097],1.000,,Glutamine
M-VLDL-CE,487,1.004 [0.941-1.072],1.000,,Cholesteryl Esters in Medium VLDL
DHA,289,0.994 [0.963-1.027],1.000,,Docosahexaenoic Acid
VLDL-CE,621,0.968 [0.900-1.041],1.000,,Cholesteryl Esters in VLDL
LDL-CE,506,0.961 [0.881-1.048],1.000,,Cholesteryl Esters in LDL
VLDL-PL,674,0.948 [0.885-1.016],1.000,,Phospholipids in VLDL
L-VLDL-P,622,0.942 [0.887-1.000],1.000,,Concentration of Large VLDL Particles
