Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-PL,489,1.265 [1.160-1.380],0.026,*,Phospholipids in Small HDL
S-HDL-L,442,1.255 [1.149-1.370],0.109,,Total-Lipids in Small HDL
LA%,226,1.089 [1.005-1.180],1.000,,Linoleic Acid to Total-Fatty Acids percentage
S-LDL-TG%,594,1.016 [0.957-1.078],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-C%,306,1.012 [0.957-1.070],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-PL%,600,0.998 [0.935-1.067],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-C,653,0.988 [0.932-1.046],1.000,,Cholesterol in Very Large HDL
XXL-VLDL-P,529,0.979 [0.913-1.050],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
L-HDL-FC%,532,0.975 [0.921-1.032],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-CE,614,0.928 [0.871-0.989],1.000,,Cholesteryl Esters in Large VLDL
