Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA/MUFA,484,1.071 [1.033-1.110],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-LDL-FC%,578,1.069 [1.036-1.102],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-FC%,574,1.040 [1.006-1.076],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-CE%,420,1.035 [0.993-1.079],1.000,,Cholesteryl Esters to Total-Lipids in IDL percentage
L-VLDL-TG%,369,1.011 [0.973-1.050],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-FC%,491,0.988 [0.969-1.007],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-L,576,0.982 [0.950-1.015],1.000,,Total-Lipids in Medium HDL
IDL-PL%,289,0.978 [0.934-1.025],1.000,,Phospholipids to Total-Lipids in IDL percentage
M-HDL-PL,545,0.972 [0.939-1.006],1.000,,Phospholipids in Medium HDL
Citrate,102,0.909 [0.826-1.002],1.000,,Citrate
