Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Glu,32,1.176 [0.811-1.704],1.000,,Glucose
M-LDL-TG,658,1.057 [1.003-1.115],1.000,,Triglycerides in Medium LDL
Omega-6,651,1.034 [0.971-1.102],1.000,,Omega-6 Fatty Acids
L-HDL-FC%,532,1.021 [0.972-1.072],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-FC,590,1.013 [0.961-1.069],1.000,,Free Cholesterol in Very Large HDL
XS-VLDL-FC,612,0.986 [0.936-1.039],1.000,,Free Cholesterol in Very Small VLDL
Total-C,563,0.941 [0.880-1.005],1.000,,Total-Cholesterol
Acetate,13,0.938 [0.530-1.660],1.000,,Acetate
S-LDL-FC,410,0.923 [0.866-0.984],1.000,,Free Cholesterol in Small LDL
Non-HDL-C,563,0.922 [0.865-0.983],1.000,,Total-Cholesterol Minus HDL-C
