Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-FC%,578,1.122 [1.026-1.226],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-FC%,460,1.043 [0.957-1.136],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,257,1.028 [0.991-1.066],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
HDL-CE,611,1.003 [0.943-1.068],1.000,,Cholesteryl Esters in HDL
S-VLDL-CE%,509,1.002 [0.945-1.062],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,609,0.986 [0.933-1.043],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
DHA,289,0.949 [0.884-1.018],1.000,,Docosahexaenoic Acid
M-LDL-C,525,0.934 [0.870-1.002],1.000,,Cholesterol in Medium LDL
PUFA,699,0.796 [0.726-0.872],0.226,,Polyunsaturated Fatty Acids
Omega-6,651,0.783 [0.707-0.868],0.748,,Omega-6 Fatty Acids
