Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,460,1.059 [1.035-1.085],0.372,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-C,535,1.053 [1.031-1.075],0.348,,Cholesterol in Medium VLDL
XS-VLDL-C%,642,1.026 [1.004-1.048],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C,604,1.023 [1.005-1.040],1.000,,Cholesterol in Very Small VLDL
M-VLDL-TG,613,1.011 [0.989-1.034],1.000,,Triglycerides in Medium VLDL
LA%,226,0.997 [0.971-1.023],1.000,,Linoleic Acid to Total-Fatty Acids percentage
HDL-C,621,0.983 [0.963-1.003],1.000,,HDL Cholesterol
HDL-FC,599,0.981 [0.963-0.999],1.000,,Free Cholesterol in HDL
XXL-VLDL-TG,472,0.978 [0.954-1.001],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG%,444,0.955 [0.930-0.981],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
