Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.864 [1.360-2.555],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-FC%,651,1.158 [0.986-1.359],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,484,1.066 [0.942-1.206],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Acetone,15,1.002 [0.713-1.408],1.000,,Acetone
S-LDL-C,489,1.000 [0.858-1.166],1.000,,Cholesterol in Small LDL
PUFA,699,0.538 [0.424-0.684],0.098,,Polyunsaturated Fatty Acids
Total-FA,654,0.516 [0.396-0.674],0.271,,Total-Fatty Acids
Omega-6,651,0.501 [0.382-0.657],0.142,,Omega-6 Fatty Acids
LA,635,0.500 [0.379-0.660],0.234,,Linoleic Acid
MUFA,654,0.491 [0.373-0.644],0.075,,Monounsaturated Fatty Acids
