Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-C,607,1.077 [1.011-1.146],1.000,,Cholesterol in Medium HDL
HDL-C,621,1.070 [1.013-1.129],1.000,,HDL Cholesterol
L-HDL-L,623,1.039 [0.994-1.087],1.000,,Total-Lipids in Large HDL
XXL-VLDL-FC,557,1.039 [0.984-1.097],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-HDL-C,653,1.002 [0.958-1.049],1.000,,Cholesterol in Very Large HDL
L-VLDL-PL%,580,0.978 [0.933-1.026],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-FC%,173,0.963 [0.879-1.056],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,420,0.935 [0.896-0.975],1.000,,Omega-3 Fatty Acids
S-VLDL-C%,527,0.877 [0.829-0.927],0.774,,Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-CE%,509,0.868 [0.822-0.917],0.102,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
