Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Albumin,72,1.096 [0.973-1.235],1.000,,Albumin
Omega-6/Omega-3,257,1.043 [1.025-1.061],0.526,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-PL%,289,1.011 [0.981-1.042],1.000,,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG,604,1.010 [0.989-1.032],1.000,,Triglycerides in Large LDL
M-VLDL-TG,613,1.008 [0.982-1.034],1.000,,Triglycerides in Medium VLDL
XS-VLDL-CE,620,0.981 [0.958-1.006],1.000,,Cholesteryl Esters in Very Small VLDL
Remnant-C,577,0.968 [0.942-0.996],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Omega-3%,215,0.959 [0.943-0.975],0.179,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.953 [0.935-0.971],0.193,,Degree of Unsaturation
DHA%,240,0.938 [0.916-0.961],0.030,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
