Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-PL%,289,1.303 [1.099-1.546],1.000,,Phospholipids to Total-Lipids in IDL percentage
HDL-TG,593,1.217 [1.066-1.389],1.000,,Triglycerides in HDL
XL-HDL-TG,489,1.189 [1.053-1.341],1.000,,Triglycerides in Very Large HDL
Pyruvate,37,1.184 [0.547-2.562],1.000,,Pyruvate
VLDL-C,644,1.027 [0.894-1.179],1.000,,VLDL Cholesterol
XS-VLDL-P,622,0.958 [0.854-1.074],1.000,,Concentration of Very Small VLDL Particles
L-LDL-C,488,0.825 [0.709-0.959],1.000,,Cholesterol in Large LDL
S-LDL-C,489,0.805 [0.693-0.935],1.000,,Cholesterol in Small LDL
L-LDL-FC%,687,0.688 [0.589-0.803],0.556,,Free Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-CE%,176,0.575 [0.455-0.727],0.880,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
