Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-PL%,289,1.215 [1.031-1.432],1.000,,Phospholipids to Total-Lipids in IDL percentage
IDL-TG%,635,1.144 [1.014-1.290],1.000,,Triglycerides to Total-Lipids in IDL percentage
L-HDL-TG%,637,1.091 [0.971-1.226],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-TG%,642,1.052 [0.924-1.197],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-HDL-P,581,1.005 [0.903-1.118],1.000,,Concentration of Very Large HDL Particles
LA,635,0.982 [0.864-1.116],1.000,,Linoleic Acid
Citrate,102,0.960 [0.671-1.372],1.000,,Citrate
Total-TG,641,0.944 [0.829-1.076],1.000,,Total-Triglycerides
M-VLDL-P,612,0.898 [0.782-1.031],1.000,,Concentration of Medium VLDL Particles
L-LDL-FC%,687,0.893 [0.784-1.018],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
