Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.164 [1.113-1.218],1.112e-05,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.100 [1.071-1.130],4.792e-07,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-PL%,489,1.027 [0.984-1.072],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-TG,570,1.018 [0.969-1.069],1.000,,Triglycerides in Very Large VLDL
XL-HDL-FC%,547,1.007 [0.976-1.039],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-3%,215,0.908 [0.885-0.932],4.161e-08,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,0.905 [0.881-0.929],7.253e-08,***,Omega-3 Fatty Acids
SM,547,0.905 [0.871-0.939],0.043,*,Sphingomyelins
Unsaturation,310,0.902 [0.872-0.934],0.001,**,Degree of Unsaturation
IDL-CE,553,0.901 [0.867-0.937],0.048,*,Cholesteryl Esters in IDL
LDL-PL,473,0.898 [0.865-0.934],0.011,*,Phospholipids in LDL
IDL-FC,587,0.898 [0.863-0.935],0.040,*,Free Cholesterol in IDL
Total-L,626,0.898 [0.863-0.935],0.028,*,Total-Lipids in Lipoprotein Particles
DHA,289,0.893 [0.866-0.921],1.504e-07,***,Docosahexaenoic Acid
LDL-FC,411,0.890 [0.853-0.929],0.023,*,Free Cholesterol in LDL
PUFA,699,0.889 [0.859-0.921],1.551e-05,***,Polyunsaturated Fatty Acids
L-LDL-FC,474,0.886 [0.849-0.924],0.005,**,Free Cholesterol in Large LDL
DHA%,240,0.866 [0.828-0.906],6.546e-05,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
SFA%,94,0.708 [0.627-0.801],0.008,**,Saturated Fatty Acids to Total-Fatty Acids percentage
