Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-CE%,344,1.267 [1.023-1.570],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
HDL-P,547,1.237 [1.035-1.477],1.000,,Concentration of HDL Particles
L-LDL-TG%,474,1.010 [0.960-1.062],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-P,612,1.002 [0.843-1.192],1.000,,Concentration of Medium VLDL Particles
XL-HDL-C%,306,1.001 [0.953-1.052],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
MUFA%,525,1.000 [0.917-1.090],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-C,489,0.981 [0.814-1.183],1.000,,Cholesterol in Small LDL
L-VLDL-CE,614,0.971 [0.833-1.132],1.000,,Cholesteryl Esters in Large VLDL
XXL-VLDL-FC%,173,0.944 [0.874-1.020],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-CE%,492,0.929 [0.879-0.981],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
