Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.040 [1.028-1.052],9.829e-06,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.032 [1.023-1.042],1.248e-05,***,Degree of Unsaturation
DHA,289,1.032 [1.022-1.042],2.175e-04,***,Docosahexaenoic Acid
Omega-3%,215,1.029 [1.020-1.037],1.043e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,1.023 [1.014-1.033],0.188,,Omega-3 Fatty Acids
S-HDL-TG,681,0.977 [0.964-0.991],1.000,,Triglycerides in Small HDL
M-HDL-PL%,489,0.974 [0.958-0.990],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
Omega-6/Omega-3,257,0.973 [0.965-0.981],1.706e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,0.963 [0.950-0.976],0.020,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.953 [0.938-0.969],0.001,**,Linoleic Acid to Total-Fatty Acids percentage
