Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
His,43,1.867 [1.074-3.245],1.000,,Histidine
M-LDL-PL,492,1.181 [1.044-1.335],1.000,,Phospholipids in Medium LDL
Total-BCAA,38,1.147 [0.674-1.953],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-VLDL-CE,487,1.075 [0.938-1.232],1.000,,Cholesteryl Esters in Medium VLDL
L-VLDL-C%,395,1.006 [0.871-1.163],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-L,576,0.942 [0.834-1.065],1.000,,Total-Lipids in Medium HDL
M-HDL-FC,597,0.927 [0.826-1.040],1.000,,Free Cholesterol in Medium HDL
HDL-PL,590,0.919 [0.821-1.029],1.000,,Phospholipids in HDL
M-LDL-C%,225,0.911 [0.756-1.098],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-FC%,460,0.881 [0.770-1.007],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
