Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.239 [1.165-1.317],2.085e-06,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.129 [1.093-1.166],4.112e-08,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-LDL-PL%,382,1.041 [0.989-1.096],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
S-VLDL-TG%,564,1.011 [0.960-1.066],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
XXL-VLDL-CE,621,1.008 [0.961-1.056],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Omega-3%,215,0.890 [0.863-0.917],1.343e-08,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.889 [0.858-0.922],5.141e-05,***,Degree of Unsaturation
Omega-3,420,0.889 [0.860-0.919],1.022e-06,***,Omega-3 Fatty Acids
DHA,289,0.876 [0.842-0.912],2.581e-05,***,Docosahexaenoic Acid
DHA%,240,0.864 [0.825-0.906],3.626e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
