Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-FC%,651,1.021 [0.968-1.077],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-CE%,545,1.008 [0.944-1.076],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-HDL-TG%,657,1.008 [0.963-1.055],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-PL%,289,1.004 [0.945-1.067],1.000,,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-CE%,176,1.001 [0.921-1.088],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-FC%,173,0.982 [0.909-1.061],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-CE,614,0.953 [0.898-1.011],1.000,,Cholesteryl Esters in Large VLDL
S-HDL-L,442,0.931 [0.857-1.011],1.000,,Total-Lipids in Small HDL
Total-C,563,0.860 [0.807-0.916],0.793,,Total-Cholesterol
Total-CE,575,0.853 [0.801-0.908],0.185,,Total-Esterified Cholesterol
