Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Total-P,531,1.026 [0.990-1.064],1.000,,Total-Concentration of Lipoprotein Particles
LDL-size,178,1.024 [0.957-1.097],1.000,,Average Diameter for LDL Particles
XS-VLDL-C%,642,1.012 [0.982-1.044],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
HDL-L,598,1.012 [0.982-1.042],1.000,,Total-Lipids in HDL
XL-VLDL-CE%,485,1.010 [0.972-1.050],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-C%,395,0.998 [0.964-1.033],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
IDL-FC%,332,0.998 [0.959-1.038],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
S-HDL-CE,360,0.996 [0.956-1.037],1.000,,Cholesteryl Esters in Small HDL
L-LDL-FC,474,0.992 [0.960-1.025],1.000,,Free Cholesterol in Large LDL
Acetoacetate,15,0.970 [0.771-1.222],1.000,,Acetoacetate
