Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-FC%,687,1.090 [1.004-1.185],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-PL%,600,1.041 [0.965-1.124],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
M-HDL-C%,632,1.036 [0.963-1.115],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
Citrate,102,1.033 [0.852-1.253],1.000,,Citrate
Omega-6/Omega-3,257,1.012 [0.966-1.060],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3%,215,0.992 [0.949-1.038],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
VLDL-size,604,0.950 [0.883-1.021],1.000,,Average Diameter for VLDL Particles
Total-FA,654,0.827 [0.766-0.892],0.250,,Total-Fatty Acids
MUFA,654,0.819 [0.755-0.889],0.402,,Monounsaturated Fatty Acids
GlycA,385,0.730 [0.646-0.825],0.107,,Glycoprotein Acetyls
