Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetone,15,1.163 [0.992-1.362],1.000,,Acetone
GlycA,385,1.113 [1.045-1.185],1.000,,Glycoprotein Acetyls
S-HDL-L,442,1.082 [1.029-1.138],1.000,,Total-Lipids in Small HDL
HDL-TG,593,1.046 [1.013-1.079],1.000,,Triglycerides in HDL
VLDL-CE,621,1.007 [0.977-1.037],1.000,,Cholesteryl Esters in VLDL
L-HDL-CE,698,0.994 [0.972-1.016],1.000,,Cholesteryl Esters in Large HDL
M-HDL-FC%,609,0.994 [0.972-1.016],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-CE,487,0.989 [0.958-1.021],1.000,,Cholesteryl Esters in Medium VLDL
L-VLDL-TG,567,0.974 [0.946-1.004],1.000,,Triglycerides in Large VLDL
LA%,226,0.913 [0.882-0.947],0.142,,Linoleic Acid to Total-Fatty Acids percentage
